interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi
35-63-43-65,KOLDA,KOLDA,1,4,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
27-80-29-86,KOLDA,KOLDA,1,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
82-87-71-06,KAFFRINE,MALEM HODDA,1,4,6,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15-09-23-55,KOLDA,VELINGARA,1,3,1,13,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00-11-37-86,KOLDA,VELINGARA,1,3,1,22,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50-00-31-64,TAMBACOUNDA,GOUDIRY,1,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82-20-97-63,KOLDA,VELINGARA,1,3,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81-75-95-76,SEDHIOU,BOUNKILING,1,3,1,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36-30-62-88,KOLDA,VELINGARA,1,4,3,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51-70-78-26,SEDHIOU,BOUNKILING,1,3,3,4,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
90-27-40-08,KOLDA,VELINGARA,1,3,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14-58-55-10,KOLDA,VELINGARA,1,4,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44-89-45-00,ZIGUINCHOR,ZIGUINCHOR,1,3,3,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,1
73-89-26-98,KOLDA,VELINGARA,1,3,4,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42-00-63-85,ZIGUINCHOR,ZIGUINCHOR,1,3,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
76-66-25-80,KOLDA,VELINGARA,1,2,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49-39-20-94,SEDHIOU,BOUNKILING,1,3,1,9,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32-48-15-25,KOLDA,VELINGARA,1,3,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
