interview__key,choc_id
02-50-64-13,10
91-44-57-66,6
91-44-57-66,8
91-44-57-66,10
63-97-99-73,1
28-15-85-35,1
28-15-85-35,6
28-15-85-35,10
57-66-63-80,13
75-91-88-94,6
75-91-88-94,8
75-91-88-94,10
78-41-34-88,1
38-55-09-83,6
38-55-09-83,10
38-55-09-83,13
87-42-74-47,6
87-42-74-47,10
87-42-74-47,13
24-54-10-50,6
24-54-10-50,13
74-36-56-72,6
74-36-56-72,10
74-36-56-72,13
18-56-25-48,6
18-56-25-48,10
18-56-25-48,13
92-23-97-74,6
92-23-97-74,13
32-63-78-62,10
54-49-87-66,11
49-58-68-02,6
49-58-68-02,10
49-58-68-02,11
95-55-54-98,1
50-66-03-16,13
10-81-17-37,6
56-68-88-53,10
36-53-13-72,6
36-53-13-72,13
87-22-40-56,6
87-22-40-56,8
87-22-40-56,10
57-47-12-60,3
13-68-49-24,10
29-05-41-82,3
93-60-52-04,1
93-60-52-04,3
30-48-75-72,8
31-30-15-24,6
31-30-15-24,13
27-02-34-28,10
89-23-12-36,6
89-23-12-36,8
89-23-12-36,10
30-89-88-04,1
97-11-35-45,6
97-11-35-45,10
97-11-35-45,13
25-51-70-46,3
32-86-54-43,6
32-86-54-43,10
32-86-54-43,13
45-95-96-41,11
44-75-47-36,6
44-75-47-36,10
44-75-47-36,13
74-08-59-39,1
74-08-59-39,6
74-08-59-39,10
31-54-57-05,1
51-56-82-66,6
51-56-82-66,13
08-68-17-68,4
16-80-53-75,6
16-80-53-75,10
16-80-53-75,13
64-77-62-83,6
64-77-62-83,13
43-14-18-05,6
43-14-18-05,10
43-14-18-05,13
02-79-17-54,10
37-09-76-14,6
37-09-76-14,13
15-64-99-73,8
33-12-86-83,6
33-12-86-83,10
33-12-86-83,13
71-77-17-15,8
66-93-25-25,8
74-32-30-93,6
74-32-30-93,13
82-55-84-77,8
09-57-21-41,2
12-44-04-89,11
80-46-65-72,6
80-46-65-72,13
79-93-43-69,6
79-93-43-69,13
92-96-73-64,10
85-40-07-24,6
85-40-07-24,13
54-11-13-21,6
54-11-13-21,13
55-23-29-48,6
55-23-29-48,8
88-88-99-88,1
88-88-99-88,10
01-28-43-30,6
01-28-43-30,13
74-51-77-02,6
74-51-77-02,13
24-75-00-42,6
24-75-00-42,8
24-75-00-42,10
00-37-76-21,6
00-37-76-21,8
00-37-76-21,10
40-39-03-79,6
40-39-03-79,13
00-10-61-22,10
73-78-19-77,6
73-78-19-77,8
73-78-19-77,10
33-08-45-54,6
33-08-45-54,10
33-08-45-54,13
06-26-19-93,6
06-26-19-93,10
06-26-19-93,13
28-04-99-40,6
28-04-99-40,10
76-36-17-80,6
76-36-17-80,10
77-38-87-83,1
77-38-87-83,6
77-38-87-83,8
74-49-62-62,6
74-49-62-62,11
98-56-26-48,13
58-25-99-14,3
60-39-49-28,6
60-39-49-28,10
60-39-49-28,13
75-55-55-71,4
75-55-55-71,6
75-55-55-71,10
61-01-27-67,6
61-01-27-67,10
61-01-27-67,13
10-77-12-80,6
10-77-12-80,13
37-53-19-46,6
37-53-19-46,8
37-53-19-46,10
28-95-98-42,6
28-95-98-42,13
92-46-97-32,6
92-46-97-32,10
92-46-97-32,13
50-24-28-19,6
50-24-28-19,13
90-32-14-17,6
90-32-14-17,13
32-76-51-34,6
32-76-51-34,10
32-76-51-34,13
20-03-07-48,2
01-95-99-57,8
01-95-99-57,9
01-95-99-57,10
03-13-12-28,6
03-13-12-28,10
19-57-58-52,5
00-03-64-48,13
80-59-15-33,2
74-56-93-46,4
74-56-93-46,6
74-56-93-46,13
46-92-10-93,6
46-92-10-93,10
46-92-10-93,11
27-15-93-84,9
80-19-86-61,6
80-19-86-61,8
80-19-86-61,10
50-09-52-14,6
50-09-52-14,8
50-09-52-14,10
09-80-92-53,6
09-80-92-53,10
24-39-88-94,6
24-39-88-94,8
24-39-88-94,10
53-32-06-73,1
53-32-06-73,6
53-32-06-73,8
07-74-06-06,6
07-74-06-06,8
07-74-06-06,10
32-10-16-53,13
31-78-71-90,6
31-78-71-90,13
46-70-87-10,6
46-70-87-10,8
46-70-87-10,10
57-68-36-19,3
57-68-36-19,13
98-33-97-58,6
98-33-97-58,8
98-33-97-58,10
20-67-90-21,3
20-67-90-21,10
01-59-05-47,11
10-36-70-65,6
10-36-70-65,10
10-36-70-65,13
80-56-98-61,1
80-56-98-61,6
80-56-98-61,10
65-01-48-70,4
65-01-48-70,9
65-01-48-70,13
74-35-76-42,11
08-00-42-86,13
87-69-38-32,6
87-69-38-32,9
02-91-50-11,13
20-28-64-61,13
33-49-36-30,4
33-49-36-30,6
68-74-06-78,6
68-74-06-78,10
93-97-50-81,6
93-97-50-81,13
98-42-69-08,1
98-42-69-08,6
98-42-69-08,8
88-57-58-50,6
88-57-58-50,8
36-57-63-17,1
36-57-63-17,6
36-57-63-17,11
26-05-13-10,10
90-19-37-56,6
90-19-37-56,13
47-27-07-46,6
47-27-07-46,8
47-27-07-46,10
46-79-18-52,6
46-79-18-52,10
46-79-18-52,11
93-27-32-39,6
93-27-32-39,13
37-44-40-24,1
37-44-40-24,6
37-44-40-24,10
74-87-57-10,1
74-87-57-10,8
74-87-57-10,10
70-81-99-37,6
70-81-99-37,8
70-81-99-37,10
29-38-27-47,6
29-38-27-47,9
29-38-27-47,11
95-50-75-19,6
95-50-75-19,13
29-15-54-08,1
29-15-54-08,6
29-15-54-08,10
19-26-92-09,6
19-26-92-09,8
19-26-92-09,10
87-84-57-03,2
92-84-98-56,13
87-17-63-68,11
11-75-84-17,4
92-25-60-72,4
92-25-60-72,9
92-25-60-72,13
86-61-90-73,9
12-20-37-41,3
68-06-99-66,2
57-13-99-11,2
57-13-99-11,6
57-13-99-11,13
20-13-96-49,3
37-09-10-64,8
90-54-18-48,6
90-54-18-48,13
61-55-84-30,10
46-10-21-03,8
68-28-10-09,6
68-28-10-09,8
68-28-10-09,10
59-09-46-41,8
31-96-50-12,6
31-96-50-12,10
31-96-50-12,13
09-12-32-04,6
09-12-32-04,10
76-37-86-41,8
64-77-32-28,2
94-66-52-77,8
01-08-14-36,6
01-08-14-36,13
40-28-91-97,8
97-03-78-46,4
97-03-78-46,13
91-93-21-03,6
91-93-21-03,13
45-00-48-19,10
47-45-27-16,4
47-45-27-16,8
86-97-88-53,6
86-97-88-53,13
75-46-61-24,6
75-46-61-24,13
58-29-57-05,6
58-29-57-05,13
73-31-84-96,6
73-31-84-96,8
73-31-84-96,10
30-91-11-61,6
30-91-11-61,13
41-35-68-24,6
41-35-68-24,13
81-63-17-53,6
81-63-17-53,10
81-63-17-53,13
34-42-61-66,6
34-42-61-66,13
35-43-96-85,6
35-43-96-85,13
09-55-15-92,6
09-55-15-92,13
26-13-98-57,6
26-13-98-57,13
02-20-36-96,6
02-20-36-96,10
02-20-36-96,13
13-36-43-88,6
13-36-43-88,13
58-71-33-99,6
58-71-33-99,10
58-71-33-99,13
29-15-95-15,2
25-86-00-95,10
75-83-91-50,11
20-96-99-76,11
43-43-72-85,11
66-80-18-13,1
66-80-18-13,6
62-00-55-83,6
62-00-55-83,13
98-79-77-43,6
98-79-77-43,13
17-58-84-00,6
17-58-84-00,10
17-58-84-00,13
56-46-87-25,6
56-46-87-25,13
58-30-31-14,6
58-30-31-14,10
58-30-31-14,13
32-92-56-26,6
32-92-56-26,11
32-92-56-26,13
59-27-65-42,13
67-14-89-13,6
67-14-89-13,13
97-19-88-43,6
97-19-88-43,10
97-19-88-43,13
45-79-22-60,6
45-79-22-60,10
45-79-22-60,13
57-91-30-82,6
57-91-30-82,13
10-05-24-53,6
10-05-24-53,10
10-05-24-53,12
96-54-34-05,6
96-54-34-05,13
85-80-39-85,6
85-80-39-85,13
06-79-79-76,6
06-79-79-76,13
64-23-59-32,8
64-23-59-32,13
99-18-16-89,6
99-18-16-89,13
89-26-93-56,6
89-26-93-56,13
71-97-58-52,6
71-97-58-52,10
71-97-58-52,13
89-75-07-31,6
89-75-07-31,13
59-65-76-08,6
59-65-76-08,10
59-65-76-08,13
65-98-79-84,6
65-98-79-84,13
01-56-62-99,6
01-56-62-99,13
54-12-23-84,6
54-12-23-84,13
90-42-46-24,11
96-86-90-18,3
56-11-47-85,10
06-52-09-18,13
40-87-67-99,6
40-87-67-99,13
04-59-35-03,6
04-59-35-03,13
70-21-92-24,6
70-21-92-24,13
42-38-79-73,4
42-38-79-73,9
33-11-53-59,9
46-36-80-20,6
46-36-80-20,10
46-36-80-20,11
29-83-72-14,11
16-43-79-10,1
86-08-48-11,8
16-49-46-57,8
67-69-73-09,1
67-69-73-09,6
67-69-73-09,10
31-09-63-49,6
31-09-63-49,10
31-09-63-49,13
16-65-00-75,6
16-65-00-75,13
68-98-73-75,6
68-98-73-75,10
20-46-25-70,6
20-46-25-70,13
07-77-56-19,6
07-77-56-19,13
11-88-12-40,6
11-88-12-40,10
11-88-12-40,12
33-99-70-12,5
40-50-41-91,6
40-50-41-91,13
45-37-85-59,1
45-37-85-59,6
45-37-85-59,8
61-51-13-88,11
84-42-98-15,6
84-42-98-15,8
84-42-98-15,10
88-90-89-87,11
51-45-06-63,1
51-45-06-63,6
51-45-06-63,8
99-04-18-51,6
99-04-18-51,8
